Image File,road,sidewalk,building,wall,fence,pole,light,sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motocycle,bicycle
13720.jpg,11.04,2.86,26.58,0.09,1.24,0.37,0,0,14.89,2.59,28.87,0,0,11.47,0,0,0,0,0
13721.jpg,7.28,3.35,21.96,0.05,0.71,0.52,0,0.05,18.73,2.61,30.48,0,0,14.2,0,0,0,0.06,0
13722.jpg,17.2,0.17,9.16,0.84,0.55,0.36,0,0.23,14.19,2.39,43.22,0,0,10.92,0.37,0,0,0.42,0
13723.jpg,21.1,2.98,6.04,0.67,0.75,0.61,0,0.4,13.57,3.32,45.2,0,0,5.28,0,0,0,0.01,0.06
13724.jpg,28.6,1.29,0.04,0.09,0.4,0.04,0.06,0.1,15.66,0.48,50.18,0.02,0.05,2.8,0,0,0,0.16,0.03
13725.jpg,25.8,0.02,0.18,0,0,0,0.01,0.01,20.34,0.18,46.68,0.01,0.02,6.59,0,0,0,0.15,0
13726.jpg,24.94,0.54,0.27,0.01,0.06,0.09,0,0,19.6,0.23,46.57,0,0.06,7.51,0,0,0,0.12,0
13727.jpg,20.48,0.64,0.04,0.19,0.28,0.17,0,0,24.4,0.79,43.94,0.08,0.06,8.84,0,0,0,0.1,0
13728.jpg,26.28,0.73,0.28,0.06,1.67,0.17,0,0,25.19,0.87,41.94,0.07,0,2.68,0,0,0,0.05,0.01
13729.jpg,26.48,1.68,0.34,0.13,0.5,0.18,0.01,0.05,23.57,0.7,44.43,0.12,0,1.77,0,0,0,0.03,0
1372.jpg,26.77,0.3,0.95,0.57,0.24,0.55,0.01,0.19,7.15,0.26,55.88,0,0.08,6.1,0.55,0,0,0.25,0.15
13730.jpg,21.1,2.98,6.04,0.67,0.75,0.61,0,0.4,13.57,3.32,45.2,0,0,5.28,0,0,0,0.01,0.06
13731.jpg,28.6,1.29,0.04,0.09,0.4,0.04,0.06,0.1,15.66,0.48,50.18,0.02,0.05,2.8,0,0,0,0.16,0.03
13732.jpg,15.5,4.02,2.61,0.38,0.65,0.27,0,0,17.38,3.99,46.85,0.08,0,8.03,0,0,0,0.02,0.21
13733.jpg,15.5,4.02,2.61,0.38,0.65,0.27,0,0,17.38,3.99,46.85,0.08,0,8.03,0,0,0,0.02,0.21
13734.jpg,10.91,2.59,7.42,4.95,1.84,0.01,0,0.01,14.42,6.22,44.82,0,0,6.66,0,0,0,0.11,0.02
13735.jpg,8.48,0.28,1.76,12.09,0.07,0.01,0,0,16.16,11.53,42,0,0,7.58,0,0,0,0.06,0
13736.jpg,9.16,0.23,3.28,5.99,0.07,0.13,0,0,14.4,10.11,44.05,0,0,12.52,0,0,0,0.06,0
13737.jpg,15.5,4.02,2.61,0.38,0.65,0.27,0,0,17.38,3.99,46.85,0.08,0,8.03,0,0,0,0.02,0.21
13738.jpg,14.77,0.69,37.44,0,0,0.08,0,0,0.02,0.72,33.43,0,0,12.85,0,0,0,0,0
13739.jpg,10.36,2.05,39.92,0.27,0.62,0.33,0,0,0.03,0,30.62,0.04,0,13.8,0,0,1.96,0,0
1373.jpg,30.26,0.86,0.28,0.28,2.41,0.56,0.09,0.02,7.51,1.01,55.38,0,0,1.33,0,0,0,0.02,0
13740.jpg,20.57,1.06,4.15,1.49,0.6,0.51,0.02,0.09,7.75,0.42,50.81,0.25,0.63,6.39,0.52,0,0,4.25,0.49
13741.jpg,21.71,2.17,5.26,0.32,0.13,0.53,0,0.03,8.49,1.39,50.52,0.14,0.03,7.65,0.71,0,0,0.77,0.16
13742.jpg,20.57,1.06,4.15,1.49,0.6,0.51,0.02,0.09,7.75,0.42,50.81,0.25,0.63,6.39,0.52,0,0,4.25,0.49
13743.jpg,12.24,4.8,18.65,0.33,1.42,0.01,0,0,15.88,0.15,43.54,0.21,0,2.74,0,0,0,0,0.02
13744.jpg,15.67,0.74,5.63,0.37,0.23,0.27,0,0.03,13.64,2.35,46.86,0.01,0.11,12.11,0,0,0,1.99,0
13745.jpg,20.57,1.06,4.15,1.49,0.6,0.51,0.02,0.09,7.75,0.42,50.81,0.25,0.63,6.39,0.52,0,0,4.25,0.49
13746.jpg,19.91,8.09,4.69,4.84,2.2,0.3,0,0.03,0.57,1.56,55,0.1,0,2.52,0,0,0,0.1,0.06
13747.jpg,29.65,1.49,7.99,1.31,1.38,0.21,0,0.06,3.28,0.07,54.2,0.1,0,0.18,0,0,0,0.06,0.02
13748.jpg,24.26,0.78,2.95,0.68,0.13,0.94,0,0,13.87,5.61,49.1,0.18,0.02,1.22,0,0,0,0.24,0
13749.jpg,20.34,1.52,4.89,2.21,7.84,0.58,0.01,0,9.67,0.85,50.25,0,0,1.75,0,0,0,0.1,0
1374.jpg,30.03,0.89,0.42,0.38,2.07,0.38,0.01,0.15,8.96,0.6,54.15,0.01,0,1.8,0.05,0.02,0,0.06,0
13750.jpg,21.31,2.29,9.81,1.45,0.42,0.53,0,0,17.37,1.22,45.52,0,0.01,0.07,0,0,0,0,0
13751.jpg,20.12,1.16,9.21,2.64,0.34,0.37,0,0,18.24,1.58,46.26,0,0.01,0.04,0,0,0,0.03,0
13752.jpg,18.97,1.81,7.68,0.57,2.66,0.11,0,0,31.27,1.26,35.02,0,0.1,0.41,0,0,0,0.15,0
13753.jpg,25.07,1.45,6.62,0.45,0.18,0.27,0,0,11.47,0.83,51.27,0.19,0,2.17,0,0,0,0.04,0.01
